VideoId,Comments
U__YrDLoHRw,"The 135$ one is not only the one that made more work and did it better, but the logo look soo nice and it look like premium luxury"
9nCTq5euTzI,"This is what in my entire design career wanted to learn and for the first time, someone explained it so well that I am commenting in middle of this video. Thank a million."
U__YrDLoHRw,"no kidding the $450 was so lame I didn't even finish watching your video, and the $135 guy presented something ""cool"" but spent more time on telling what he did than actually working on the logo."
U__YrDLoHRw,"You should show these logos to another designer and make them guess the cost of each, that would be interesting"
U__YrDLoHRw,"A branding logo should cost 10,000$
and the 450$ logo is not in proportion and don't understand the principle of logo design, the 135$ guy did great and he must charge more than 135$ and also fiverr is a trash site for graphic designer"
U__YrDLoHRw,not a fan of these design whore websites.
U__YrDLoHRw,"It almost seems as if the $450 guy kinda ripped you off, I'm almost sure i've seen those assets in a free logo software.
The $135 guy is amazing, I will definitely be hiring him in the near future."
U__YrDLoHRw,"A6 Designs really hit it out of the park. He created the best design and concept without any consideration for the money.  As I review the comments below me, it is a common consensus."
U__YrDLoHRw,i kinda felt i made a competition and the winner get 1000$ it would be so hard for me to pick one! I honestly if you didn't mention the prices i would pick the 135$ but right after that i would pick the 450$ but knowing that cost 450$ is too much for me honestly and I would always go with the 135$ sweet spot for a price and work of art! I also love the simple work! and it kinda fit very well too I'm not saying no to the rest.. the rest isn't something that would make my own app interesting to myself but forever probably yeah!
U__YrDLoHRw,The $135 guy is called a6designs. He is now charging just over $141
U__YrDLoHRw,Cool and nice on my channel for my intro I had my best friend draw my intro and had someone on fiver animated it for me
U__YrDLoHRw,Hahaha first one is a mirror of the Visual Studio Logo
9nCTq5euTzI,i always wanted to learn grid related tutorial <3 thanks
U__YrDLoHRw,Please do one for web developer
U__YrDLoHRw,wow the $135 guy really went for it. great work.
U__YrDLoHRw,$135! needs a raise...
UsB6MV56fLo,fucking tiny notepad
U__YrDLoHRw,"I'm a professional advertiser, I've worked for worldwide brands from Germany, Spain, Brazil, Colombia, Túnez, USA... and the best of all for me its the $135 amazing job, minimal, and fits perfectly with the brief"
U__YrDLoHRw,"Rather than logo for fake company just for the sake making this video, how about logo for your subscribers company who need it ?"
U__YrDLoHRw,135> 450 > 40> those other two chuckleheads.
U__YrDLoHRw,"IMO the guy that charged 135 was the best one, the 450 dollar guy to me didnt really get you concept because they all did just look like a sleep app icon, where as the 135$ guy to me at least hit it dead on with everything being symmetrical and calming, breaking down all the zen aspects to it. like i was legit getting calmer and relaxed looking at the work of the 135$ guy"
U__YrDLoHRw,He complains about 4 lines in a plant but the galaxy face was just right in detail?
U__YrDLoHRw,4:06 Visual Studio logo
0GLAm2bCyCc,I will wait until Logitech version of it way cheaper
0GLAm2bCyCc,lol I see you're suffering bad there with COVID hair!
U__YrDLoHRw,"Hi, interesting video!!! I was just wondering why did you only choose male designers? This was probably just an unconscious coincident. Are there more male designers on Fiverr?"
U__YrDLoHRw,"A6 Design.. ""$135 man"" .. Got it.. He gets all the business from now on."
U__YrDLoHRw,I am the 135$ Guy.
U__YrDLoHRw,"Another vote to ""$135 Guy""...they provided not only great work but also an insight on how their thought process went into it. Great result overall and totally worth the money."
U__YrDLoHRw,KayFallDesigns’ concept (5:50) is rather similar to the icon for the Meditopia app
U__YrDLoHRw,"Was interesting to watch, what you get when you spend  5  times more than average price."
U__YrDLoHRw,Wow that $70 one was pure garbage. Looks like they just got some clipart and smashed it together. Also look how bad the line work is on the “final” version.
5tXFcLyoTsk,"I know how i spent well my quarantine.
Binge watched a lot of your videos, clear and dope work mate."
U__YrDLoHRw,Lester?
U__YrDLoHRw,"The $135 dollar job was amazing - you didn't even mention the fact that the design has a icon form of a lotus blossom, and the symbol for infinity as major components. The $135 job is the one I would have picked."
U__YrDLoHRw,Fiverr has devalued the design industry beyond recovery.  It's hard to make a living as a designer when prices are so low and the artwork takes so long to create.  It's not a sustainable model.  Designers must charge more for their time and expertise.
TKHrZeHfKos,I got procreate today and when I used it I was like this app is CHEAP AF for what we’re getting LOvE procreate!!
U__YrDLoHRw,"can you hire me too...(^^,) i'm freelance designer"
U__YrDLoHRw,"#1. $450
#2. $135
#3. $40
#4. $295
#5. $70"
